idcar_nat,tmaille,ind,men,men_pauv,men_1ind,men_5ind,men_prop,men_fmp,ind_snv,men_surf,men_coll,men_mais,log_av45,log_45_70,log_70_90,log_ap90,log_inc,log_soc,ind_0_3,ind_4_5,ind_6_10,ind_11_17,ind_18_24,ind_25_39,ind_40_54,ind_55_64,ind_65_79,ind_80p,ind_inc
CRS5490RES1000mN1619000E706000,1000,1095.5,476.9,121.7,160.9,28.9,138,139,23738353.5,37312,308.1,168.8,12.8,17,132.2,311.8,3.1,222,23.6,21,71.1,148.6,61.5,142.9,233.9,187.9,153,52,0
CRS5490RES1000mN1619000E707000,1000,1459,665,129,240,44,372,154,35876022.2,56756,312,353,13,69,193,387,3,76,44.5,33.5,95,123.5,100.5,183,284,223,258,114,0
CRS5490RES1000mN1619000E708000,1000,784,369,70,154,19,186.1,66.1,19993364.4,27759.1,204.9,164.1,5.8,20,58,280.9,4.3,0,32.3,10.5,46,78.5,47.7,119.8,190,103.1,115.2,39.9,1
CRS5490RES1000mN1619000E709000,1000,1708.5,795,157,299,44,382,188,42116529,69371,444,351,3,83,211,489,9,142,64.5,38,105,151.9,107,238.1,341,261,280,122,0
CRS5490RES1000mN1619000E710000,1000,657.5,311.1,34.9,117,11,205.4,63,19057290.4,27792.1,150,161.1,0,22,105.2,181.9,2,0,31.5,14,31.1,49.9,48.1,102.8,139,105.8,112,23.3,0
CRS5490RES1000mN1619000E711000,1000,855.5,368,84,126,26,118,108,18689906.8,27999,276,92,0,15,44,289,20,158,41.5,22.5,50,84.5,74,154.1,175,146,82.9,24,1
CRS5490RES1000mN1619000E712000,1000,744,324.9,74.9,119.9,20.9,183,41,17841540.4,28236,107.9,217,9,27,38.9,221,29,0,30.9,15.5,46.5,55.9,40.1,116,164.1,134.1,91,48.9,1
CRS5490RES1000mN1619000E713000,1000,424,205,64,90,9.9,137,30.9,9731602.9,18908.2,53,152,6.1,28.9,43,122,5,0,12,7.8,16.1,32.9,24.2,36.2,102.8,77,77.9,36.1,1
CRS5490RES1000mN1619000E714000,1000,615,277,60,99,12.2,138,69.9,14958285.8,22085.9,137,140,8,30.1,25.9,193.9,19.1,0,32.5,12.6,51.4,61,27.4,104,141.1,82,69,34,0
CRS5490RES1000mN1619000E715000,1000,214.5,87.9,15,29,7,54,15.1,6006010.2,7956.2,29.9,58,0,3,8.8,72,4.1,0,12.9,5,17.1,23.4,11.9,34.1,55.1,23,19.9,12.1,0
CRS5490RES1000mN1619000E716000,1000,692,306,29,107,22,204,54,19904857.9,29363,96,210,4.9,24.2,74,191.9,11,0,24.5,14,39.9,52,48.5,98,148.8,103.1,105.1,58.1,0
CRS5490RES1000mN1619000E717000,1000,77,32,8,13.9,3.9,17.9,1.9,1684710.5,3124.9,4.1,27.9,2,6.9,3.9,18.2,1,0,5.1,2.1,2,5,4,14,20.9,12.9,8.9,2.1,0
CRS5490RES1000mN1619000E718000,1000,238.5,108.1,36.1,42,6.9,76.8,18,5020466.5,10610.1,12.1,96,4.9,14.2,35.1,50,3.9,0,4.5,4,13,18,12,21.1,51.1,49.9,42,22.9,0
CRS5490RES1000mN1619000E719000,1000,282,136.1,45,57,8.8,80.1,21.1,5396373,10695.8,19.2,116.9,4,28,28.1,45,31,0,5,1.7,12.2,18.2,12.1,28.1,55.1,60.8,64,24.8,0
CRS5490RES1000mN1619000E720000,1000,230,93.8,39,30.2,10.1,48.1,17.9,3691053,6409.9,2.8,91,4.8,25.8,13.9,33.9,15.4,0,3.8,3,7.2,21,12.2,25.9,49.1,54.1,40.8,12.9,0
CRS5490RES1000mN1619000E721000,1000,180.5,91.9,43.5,44.1,2.9,53.1,14.1,3054538.2,6665.1,12.2,79.7,4.1,27.9,14.9,27,18,0,9,1.9,9.2,10.6,3.1,20.8,37,34.1,35,19.8,0
CRS5490RES1000mN1619000E722000,1000,297,145.9,59.3,65,9,88.1,29,5009008.8,13172.2,23.1,122.8,2.7,16.4,18.1,66.9,41.8,0,5,2,13.7,29.2,6.2,31.9,68.8,51.3,70,18.9,0
CRS5490RES1000mN1619000E723000,1000,933,388,148,129.1,37,261,66,17341042.9,37161,66.9,321.1,16,50.1,80,213.9,28,0,19,18.5,41.4,88,58.1,109.9,247,138,154,59.1,0
