idcar_nat,tmaille,ind,men,men_pauv,men_1ind,men_5ind,men_prop,men_fmp,ind_snv,men_surf,men_coll,men_mais,log_av45,log_45_70,log_70_90,log_ap90,log_inc,log_soc,ind_0_3,ind_4_5,ind_6_10,ind_11_17,ind_18_24,ind_25_39,ind_40_54,ind_55_64,ind_65_79,ind_80p,ind_inc
CRS3035RES1000mN2900000E3755000,1000,6308.5,2450,402,756,274,1402,262,153344523,157972,1241,1209,1080,244,293,827,6,238,422.5,218,430.5,512.5,449,1571,1294,687,519,205,0
CRS3035RES1000mN2900000E3756000,1000,3515.5,1238.9,263.1,349,209.1,493,189,69724196,78387,732,506.9,199.9,621,194,221,3,622,234.5,99.5,313,395.3,270,714,688,400.1,300.1,98,3
CRS3035RES1000mN2900000E3757000,1000,5535,1992,540,630.9,359,341,316,98018464.5,123458,1544,448,373,1198.9,190.1,229,1,484,425.5,218.5,466.4,600.5,360,1153,1042,644.1,457,136,32
CRS3035RES1000mN2900000E3758000,1000,8149.5,2836,783,806,496,1025,439,144046678.2,191917,2485,351,358,514,1498,465,1,490,509,291.5,742.5,931.5,506,1589,1693,902,743,185,57
CRS3035RES1000mN2900000E3759000,1000,10250,3543,883,1035,646,1493,502,186974032.4,239632,3007,536,518,1932,437,652,4,801,637,322.5,891.5,1197,743,1973,1994,1102,960,356,74
CRS3035RES1000mN2900000E3760000,1000,10298,3540,942,1022,657,775,555,179562093,222784,2974,566,546.1,2057.9,722,213,1,1772,644.5,352.5,919.5,1202.4,653.5,1971,2038.6,1064,1013,317,122
CRS3035RES1000mN2900000E3761000,1000,2804.5,841.1,248.1,171.9,199.1,188,132.9,46937256.2,58048.2,610,231.1,90,60.1,600,87.9,3.1,323,215.4,93,257.5,325.1,217.1,562.9,530.5,269.1,256.9,77,0
CRS3035RES1000mN2900000E3762000,1000,5898,1809,699,385,419,653.1,236,94465575.2,113829.9,1118,691,520,517,460,300,12,788,340.6,174.5,515.5,706.5,423.9,1022,1149,681,596,160,129
CRS3035RES1000mN2900000E3763000,1000,4364.5,1490,479,436,283.9,495,225,74780578.4,92555,961.1,528.9,423,342,71,647,7,158,293,143.5,349.5,431.5,432,960,819,421,335,137,43
CRS3035RES1000mN2900000E3764000,1000,4350,1523.2,476,502.9,283.9,277.9,273,71562847.6,88397,1377.2,146,295.9,554.2,193,473.2,6.9,189,340.5,155.4,390.4,467.5,332,954,848,442,300,81,39.2
CRS3035RES1000mN2900000E3765000,1000,1310,420,186,109,97,181.1,41,20834654.5,22212,213,207,79.1,98,51,189.9,2,0,62.6,37,77,160,95.5,210,274.9,181,154,29,29
CRS3035RES1000mN2900000E3766000,1000,2916,948,222,244,191.9,372,120,55455221.3,70793,544.9,403.1,59.9,176,371.9,340.2,0,334,193,102.4,243.4,306.1,204,593,566.1,284,289,104,31
CRS3035RES1000mN2900000E3778000,1000,79,29,0,7,3,4,1,1733000.3,2011,23,6,1,0,2.9,25.1,0,0,6,4.1,7.1,5.1,4,17,22.9,6.9,5.9,0,0
CRS3035RES1000mN2900000E3812000,1000,94.5,43.9,2,15.9,2.1,30.9,8.1,2388662.9,4453,5.9,38,23.9,4,5.1,10.9,0,0,1,1,6.1,13.4,6.1,21,18,13.9,12,2,0
